Plant,Chinese Name,Capacity (MW),Status,Year,RETIRED,Planned Retire,Latitude,Longitude,Tracker ID,Annual CO2 (million tonnes / annum),"Subnational unit (province, state)",resource
Huadian Hangzhou Banshan power station,杭州华电半山发电厂,415,operating,2012,NA,NA,30.361012,120.141861,G405714,0.54531,Zhejiang,gas
Huadian Hangzhou Banshan power station,杭州华电半山发电厂,415,operating,2012,NA,NA,30.361012,120.141861,G405715,0.54531,Zhejiang,gas
Huadian Hangzhou Banshan power station,杭州华电半山发电厂,415,operating,2012,NA,NA,30.361012,120.141861,G405716,0.54531,Zhejiang,gas
Huadian Hangzhou Xiasha Thermal power station,华电杭州下沙热电厂,123,operating,2014,NA,NA,30.340843,120.349535,G405717,0.161622,Zhejiang,gas
Huadian Hangzhou Xiasha Thermal power station,华电杭州下沙热电厂,123,operating,2014,NA,NA,30.340843,120.349535,G405718,0.161622,Zhejiang,gas
Huadian Heshan Gas Thermal power station,华电广东鹤山燃机热电站,115,proposed,2023,NA,NA,22.780068,112.902984,G405784,0.15111,Guangdong,gas
Huadian Heshan Gas Thermal power station,华电广东鹤山燃机热电站,115,proposed,2023,NA,NA,22.780068,112.902984,G405785,0.15111,Guangdong,gas
Huadian Heshan Gas Thermal power station,华电广东鹤山燃机热电站,115,proposed,2023,NA,NA,22.780068,112.902984,G405786,0.15111,Guangdong,gas
Huadian Huizhou Dongjiang Gas cogeneration power station,华电广东惠州东江燃机热电厂,460,proposed,2023,NA,NA,23.116553,114.516829,G409413,0.60444,Guangdong,gas
Huadian Huizhou Dongjiang Gas cogeneration power station,华电广东惠州东江燃机热电厂,460,proposed,2023,NA,NA,23.116553,114.516829,G409412,0.60444,Guangdong,gas
Huadian Jiangdong Thermal power station,华电江东热电厂,480,operating,2015,NA,NA,30.343409,120.552169,G405719,0.63072,Zhejiang,gas
Huadian Jiangdong Thermal power station,华电江东热电厂,480,operating,2015,NA,NA,30.343409,120.552169,G405720,0.63072,Zhejiang,gas
Huadian Jiangmen Distributed Gas power station,华电江门蓬沙江沙分布式能源站,115,operating,2018,NA,NA,22.693712,112.996593,G405257,0.15111,Guangdong,gas
Huadian Jiangmen Distributed Gas power station,华电江门蓬沙江沙分布式能源站,115,operating,2018,NA,NA,22.693712,112.996593,G405258,0.15111,Guangdong,gas
Huadian Kunshan Thermal power plant,华电昆山东部燃机热电厂,451,operating,2017,NA,NA,31.34691,121.057601,G405523,0.592614,Jiangsu,gas
Huadian Kunshan Thermal power plant,华电昆山东部燃机热电厂,451,operating,2017,NA,NA,31.34691,121.057601,G405524,0.592614,Jiangsu,gas
Huadian Longyou Thermal power station,华电龙游热电厂,203,operating,2015,NA,NA,29.102801,119.223022,G405721,0.266742,Zhejiang,gas
Huadian Longyou Thermal power station,华电龙游热电厂,203,operating,2015,NA,NA,29.102801,119.223022,G405722,0.266742,Zhejiang,gas
Huadian Nanning Jiangnan Distributed Gas power station,华电南宁江南分布式能源站,60,operating,2014,NA,NA,22.799468,108.238976,G405391,0.07884,Guangxi,gas
Huadian Nanning Jiangnan Distributed Gas power station,华电南宁江南分布式能源站,60,operating,2014,NA,NA,22.799468,108.238976,G405392,0.07884,Guangxi,gas
Huadian Nantong Tongzhou Gas power station,华电南通通州燃机发电厂,200,operating,2016,NA,NA,32.016715,121.053118,G405507,0.2628,Jiangsu,gas
Huadian Nantong Tongzhou Gas power station,华电南通通州燃机发电厂,200,operating,2016,NA,NA,32.016715,121.053118,G405508,0.2628,Jiangsu,gas
Huadian Pingshan Distributed Gas power station,华电坪山分布式能源站,120,operating,2018,NA,NA,22.727749,114.396292,G405253,0.15768,Guangdong,gas
Huadian Pingshan Distributed Gas power station,华电坪山分布式能源站,245,operating,2019,NA,NA,22.727749,114.396292,G405254,0.32193,Guangdong,gas
